Deutschland ;;;;;;;;;;;;;;
3 Beteiligte an Straßenverkehrsunfällen 2016;;;;;;;;;;;;;;
3.1 Alleinunfälle und Unfälle mit zwei Beteiligten nach Ortslage;;;;;;;;;;;;;;
3.1.1 Nach Unfallverursacher und Unfallgegner ;;;;;;;;;;;;;;
"Spalten: Der erste Beteiligte (Hauptverursacher) war ein(e) ...
Zeilen: Der zweite Beteiligte (Nebenverursacher) war ein(e) ...";;;;;;;;;;;;;;
Unfälle mit Getöteten - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;9;22;83;1;2;3;0;0;1;65;0;0;7;193
Unfälle zwischen zwei Beteiligten insg.;12;28;280;5;21;53;27;9;2;79;2;120;11;649
Kraftrad mit Versicherungskennzeichen 1;0;0;6;0;2;4;0;0;0;0;0;1;1;14
Kraftrad mit amtlichem Kennzeichen 2;1;1;31;1;2;0;0;0;0;4;0;5;0;45
Personenkraftwagen;9;18;32;0;0;0;0;0;0;37;0;60;2;158
Bus;0;1;3;0;0;0;0;0;0;2;0;2;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;2;0;0;1;1;0;0;2;0;2;1;11
Lastkraftwagen 3 über 3,5t;0;4;4;0;0;0;0;0;0;6;0;8;1;23
Sattelzugmaschine;0;1;4;0;0;0;0;0;0;2;0;8;0;15
übriges Güterkraftfahrzeug;0;0;2;0;0;0;0;0;0;2;0;3;0;7
Landwirt. Zugmaschine;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;53;0;5;20;14;6;1;7;0;3;0;109
Straßenbahn;0;0;1;0;0;0;0;0;0;6;0;21;0;28
Fußgänger 5;1;2;133;4;12;27;12;3;1;8;2;0;5;210
anderer Verkehrsteilnehmer;0;0;8;0;0;1;0;0;0;3;0;7;1;20
Unfälle mit Getöteten – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;4;128;463;1;13;6;7;3;3;21;0;0;6;655
Unfälle zwischen zwei Beteiligten insg.;12;117;674;0;56;35;27;4;17;64;0;53;11;1070
Kraftrad mit Versicherungskennzeichen 1;0;2;9;0;1;0;0;0;1;2;0;0;0;15
Kraftrad mit amtlichem Kennzeichen 2;2;12;100;0;1;7;3;2;9;4;0;1;1;142
