Deutschland ;;;;;;;;;;;;;;
3 Beteiligte an Straßenverkehrsunfällen 2020;;;;;;;;;;;;;;
3.1 Alleinunfälle und Unfälle mit zwei Beteiligten nach Ortslage;;;;;;;;;;;;;;
3.1.1 Nach Unfallverursacher und Unfallgegner ;;;;;;;;;;;;;;
"Spalten: Der erste Beteiligte (Hauptverursacher) war ein(e) ...
Zeilen: Der zweite Beteiligte (Nebenverursacher) war ein(e) ...";;;;;;;;;;;;;;
Unfälle mit Getöteten - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 10; 27; 63; 3; 3; 0; 1; 0; 5; 71; 1; 0; 15; 199
Unfälle zwischen zwei Beteiligten insg.; 9; 14; 224; 9; 19; 38; 30; 14; 6; 79; 4; 78; 15; 539
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 3; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 6
Kraftrad mit amtlichem Kennzeichen 2; 0; 0; 25; 1; 1; 1; 1; 1; 0; 0; 0; 1; 0; 31
Personenkraftwagen; 4; 8; 21; 0; 0; 0; 0; 0; 0; 44; 0; 35; 4; 116
Bus; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 2; 2; 8
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 0; 2; 0; 0; 0; 0; 0; 0; 1; 0; 2; 0; 5
Lastkraftwagen 3 über 3,5t; 2; 0; 4; 0; 0; 0; 0; 0; 0; 4; 0; 8; 0; 18
Sattelzugmaschine; 0; 1; 3; 0; 0; 1; 0; 0; 0; 3; 0; 4; 0; 12
übriges Güterkraftfahrzeug; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1
Landwirt. Zugmaschine; 0; 2; 2; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 7
Fahrrad 4; 0; 1; 39; 4; 2; 21; 21; 6; 4; 11; 0; 5; 0; 114
Straßenbahn; 2; 0; 4; 0; 0; 0; 0; 0; 0; 8; 0; 13; 1; 28
Fußgänger 5; 1; 0; 105; 4; 14; 14; 8; 7; 1; 3; 4; 0; 8; 169
anderer Verkehrsteilnehmer; 0; 1; 13; 0; 0; 0; 0; 0; 0; 4; 0; 6; 0; 24
Unfälle mit Getöteten – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 7; 156; 390; 1; 14; 5; 7; 2; 11; 47; 0; 0; 3; 643
Unfälle zwischen zwei Beteiligten insg.; 9; 116; 513; 4; 50; 28; 24; 4; 10; 70; 0; 28; 11; 867
