Deutschland ;;;;;;;;;;;;;;
3 Beteiligte an Straßenverkehrsunfällen 2010;;;;;;;;;;;;;;
3.1 Alleinunfälle und Unfälle mit zwei Beteiligten nach Ortslage;;;;;;;;;;;;;;
3.1.1 Nach Unfallverursacher und Unfallgegner;;;;;;;;;;;;;;
"Spalten: Der erste Beteiligte (Hauptverursacher) war ein(e) ...
Zeilen: Der zweite Beteiligte (Nebenverursacher) war ein(e) ...";;;;;;;;;;;;;;
Unfälle mit Getöteten - Innerhalb von Ortschaften ;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Alleinunfälle;7;38;106;4;6;1;3;1;2;52;7;0;0;227
Unfälle zwischen zwei Beteiligten insg.;15;28;294;10;67;23;5;0;5;83;10;116;0;656
Mofa, Moped;0;0;1;0;3;0;0;0;0;1;0;1;0;6
Motorrad;0;4;51;0;7;1;1;0;0;2;1;4;0;71
Personenkraftwagen;8;16;46;0;1;1;1;0;0;47;0;64;0;184
Kraftomnibus, Obus;0;0;3;0;0;0;0;0;0;3;0;5;0;11
Liefer- und Lastkraftw.;3;4;8;0;2;0;0;0;0;8;0;10;0;35
Sattelschlepper;1;0;9;0;0;0;0;0;0;4;0;4;0;18
Landwirt. Zugmaschine;1;0;2;0;0;0;0;0;0;0;0;1;0;4
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Fahrrad;1;1;32;1;23;16;1;0;1;7;2;2;0;87
anderes Fahrzeug;1;2;8;0;2;0;1;0;0;10;1;24;0;49
Fußgänger;0;1;132;9;29;4;1;0;4;1;6;0;0;187
sonstige Person;0;0;2;0;0;1;0;0;0;0;0;0;0;3
Unfälle mit Getöteten – Außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Alleinunfälle;10;151;587;2;18;11;10;2;1;22;9;0;0;823
Unfälle zwischen zwei Beteiligten insg.;20;131;780;6;99;24;18;2;3;76;12;51;2;1224
Mofa, Moped;0;2;8;0;0;0;0;0;0;0;1;0;0;11
Motorrad;0;20;105;1;17;1;11;1;0;9;0;0;0;165
Personenkraftwagen;15;67;338;0;30;10;4;0;2;52;3;34;2;557
Kraftomnibus, Obus;1;2;20;1;1;0;0;0;0;0;0;2;0;27
Liefer- und Lastkraftw.;2;18;117;2;19;5;0;0;1;8;1;11;0;184
Sattelschlepper;0;5;87;1;13;2;0;0;0;2;2;4;0;116
Landwirt. Zugmaschine;1;4;5;0;2;1;0;0;0;0;0;0;0;13
andere Zugmaschine;0;2;4;0;0;0;0;0;0;0;0;0;0;6
LKW mit Spezialaufbau;0;2;8;0;1;0;0;0;0;0;0;0;0;11
Fahrrad;0;2;32;0;8;3;2;0;0;1;1;0;0;49
anderes Fahrzeug;1;5;13;0;3;0;0;0;0;1;0;0;0;23
Fußgänger;0;2;41;1;5;2;1;1;0;2;4;0;0;59
sonstige Person;0;0;2;0;0;0;0;0;0;1;0;0;0;3
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften ;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Alleinunfälle;17;189;693;6;24;12;13;3;3;74;16;0;0;1050
Unfälle zwischen zwei Beteiligten insg.;35;159;1074;16;166;47;23;2;8;159;22;167;2;1880
Mofa, Moped;0;2;9;0;3;0;0;0;0;1;1;1;0;17
Motorrad;0;24;156;1;24;2;12;1;0;11;1;4;0;236
Personenkraftwagen;23;83;384;0;31;11;5;0;2;99;3;98;2;741
Kraftomnibus, Obus;1;2;23;1;1;0;0;0;0;3;0;7;0;38
Liefer- und Lastkraftw.;5;22;125;2;21;5;0;0;1;16;1;21;0;219
Sattelschlepper;1;5;96;1;13;2;0;0;0;6;2;8;0;134
Landwirt. Zugmaschine;2;4;7;0;2;1;0;0;0;0;0;1;0;17
andere Zugmaschine;0;2;4;0;0;0;0;0;0;0;0;0;0;6
LKW mit Spezialaufbau;0;2;8;0;1;0;0;0;0;0;0;1;0;12
Fahrrad;1;3;64;1;31;19;3;0;1;8;3;2;0;136
anderes Fahrzeug;2;7;21;0;5;0;1;0;0;11;1;24;0;72
Fußgänger;0;3;173;10;34;6;2;1;4;3;10;0;0;246
sonstige Person;0;0;4;0;0;1;0;0;0;1;0;0;0;6
Unfälle mit Personenschaden - Innerhalb von Ortschaften ;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Alleinunfälle;2824;2779;7653;461;372;67;72;26;30;8944;337;0;0;23565
Unfälle zwischen zwei Beteiligten insg.;4035;3296;109237;1367;9022;992;294;104;246;16431;2201;7858;542;155625
Mofa, Moped;99;52;5692;42;455;53;21;10;7;201;158;155;43;6988
Motorrad;67;144;7292;43;534;49;35;7;10;262;155;211;47;8856
Personenkraftwagen;3048;2458;48539;465;4172;547;154;51;119;9105;598;5203;47;74506
Kraftomnibus, Obus;58;35;1569;37;131;19;3;3;3;202;77;359;36;2532
Liefer- und Lastkraftw.;194;184;2337;33;263;34;9;5;13;537;39;300;2;3950
Sattelschlepper;17;18;261;9;34;21;1;4;0;44;8;24;0;441
Landwirt. Zugmaschine;10;16;109;1;13;1;3;0;0;15;4;7;1;180
andere Zugmaschine;2;3;40;0;5;1;0;1;1;7;0;4;0;64
