Unfälle mit Getöteten - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;12;32;83;2;1;1;2;0;5;65;1;0;3;207
Unfälle zwischen zwei Beteiligten insg.;14;20;283;8;29;47;29;9;5;74;5;128;10;661
Kraftrad mit Versicherungskennzeichen 1;0;0;9;0;1;2;3;0;0;0;0;1;0;16
Kraftrad mit amtlichem Kennzeichen 2;0;0;46;0;1;0;2;0;1;2;0;3;1;56
Personenkraftwagen;7;12;40;0;2;0;1;0;0;29;0;64;1;156
Bus;0;1;4;0;1;0;0;0;0;5;0;6;0;17
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;3;0;1;0;0;0;0;1;0;1;0;7
Lastkraftwagen 3 über 3,5t;6;1;5;0;0;0;0;0;1;7;0;10;0;30
Sattelzugmaschine;0;3;5;0;1;1;0;0;0;3;0;8;0;21
übriges Güterkraftfahrzeug;0;0;2;0;1;0;0;0;0;2;0;0;0;5
Landwirt. Zugmaschine;0;1;2;0;0;0;0;0;0;2;0;0;0;5
Fahrrad 4;0;1;28;0;5;25;10;4;2;7;0;1;2;85
Straßenbahn;0;0;2;0;0;0;0;0;0;4;0;25;0;31
Fußgänger 5;0;1;130;8;16;16;13;5;1;2;5;0;6;203
anderer Verkehrsteilnehmer;0;0;7;0;0;3;0;0;0;10;0;9;0;29
Unfälle mit Getöteten – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;6;161;491;1;21;3;3;1;14;35;0;0;7;743
Unfälle zwischen zwei Beteiligten insg.;14;105;728;3;43;32;35;4;21;86;0;56;14;1141
Kraftrad mit Versicherungskennzeichen 1;0;0;14;1;0;1;0;1;0;0;0;0;1;18
Kraftrad mit amtlichem Kennzeichen 2;0;6;104;1;3;5;3;0;10;9;0;0;2;143
Personenkraftwagen;10;72;338;0;12;11;15;1;7;53;0;40;4;563
Bus;0;2;13;0;0;1;0;0;0;1;0;0;0;17
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;19;0;1;0;2;0;0;3;0;4;0;31
Lastkraftwagen 3 über 3,5t;2;6;64;0;7;2;5;0;0;6;0;3;0;95
Sattelzugmaschine;0;4;82;0;10;5;8;0;1;3;0;4;2;119
übriges Güterkraftfahrzeug;1;0;6;0;0;1;0;1;0;0;0;0;0;9
Landwirt. Zugmaschine;0;6;5;0;1;1;0;0;0;1;0;1;0;15
Fahrrad 4;0;3;23;1;3;2;1;0;3;4;0;1;1;42
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;2;0;2
Fußgänger 5;0;2;51;0;6;2;1;1;0;1;0;0;4;68
anderer Verkehrsteilnehmer;0;3;9;0;0;1;0;0;0;5;0;1;0;19
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;18;193;574;3;22;4;5;1;19;100;1;0;10;950
Unfälle zwischen zwei Beteiligten insg.;28;125;1011;11;72;79;64;13;26;160;5;184;24;1802
Kraftrad mit Versicherungskennzeichen 1;0;0;23;1;1;3;3;1;0;0;0;1;1;34
Kraftrad mit amtlichem Kennzeichen 2;0;6;150;1;4;5;5;0;11;11;0;3;3;199
Personenkraftwagen;17;84;378;0;14;11;16;1;7;82;0;104;5;719
Bus;0;3;17;0;1;1;0;0;0;6;0;6;0;34
Lastkraftwagen 3 bis einschließlich 3,5t;2;1;22;0;2;0;2;0;0;4;0;5;0;38
Lastkraftwagen 3 über 3,5t;8;7;69;0;7;2;5;0;1;13;0;13;0;125
Sattelzugmaschine;0;7;87;0;11;6;8;0;1;6;0;12;2;140
übriges Güterkraftfahrzeug;1;0;8;0;1;1;0;1;0;2;0;0;0;14
Landwirt. Zugmaschine;0;7;7;0;1;1;0;0;0;3;0;1;0;20
Fahrrad 4;0;4;51;1;8;27;11;4;5;11;0;2;3;127
Straßenbahn;0;0;2;0;0;0;0;0;0;4;0;27;0;33
Fußgänger 5;0;3;181;8;22;18;14;6;1;3;5;0;10;271
anderer Verkehrsteilnehmer;0;3;16;0;0;4;0;0;0;15;0;10;0;48
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
