Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;27;0;6;0;3;0;0;0;0;36
Fahrrad 4;0;0;0;0;5;0;0;0;0;0;0;0;0;5
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;16;132;1;7;5;5;0;0;0;13;179
Personenkraftwagen;19;2;1;179;5658;18;371;275;506;17;3;0;114;7163
Bus;0;0;0;2;26;0;2;1;5;0;0;0;1;37
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;2;259;1;35;22;31;1;0;0;8;360
Lastkraftwagen 3 über 3,5t;3;0;0;8;342;3;62;46;60;5;0;0;3;532
Sattelzugmaschine;4;0;0;11;657;6;102;73;116;4;0;0;3;976
übriges Güterkraftfahrzeug;1;0;0;0;31;0;5;4;7;1;0;0;3;52
Landwirt. Zugmaschine;0;0;0;0;3;0;0;1;0;0;0;0;0;4
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;3;66;1;11;7;4;0;0;0;3;95
Unfälle zwischen zwei Beteiligten insg.;28;2;1;221;7207;30;601;434;737;28;3;0;148;9440
