Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;138;31;21;686;8;82;11;12;2;0;54;0;1045
Fahrrad;112;664;54;59;2032;21;207;28;51;8;2;67;80;3385
Mofa, Moped;9;20;21;28;934;5;114;22;16;1;6;38;6;1220
Motorrad;24;95;30;312;2798;12;215;45;122;13;2;141;32;3841
Personenkraftwagen;360;872;439;1649;26845;117;2608;948;308;47;69;471;52;34785
Kraftomnibus, Obus;4;10;4;15;188;3;36;10;0;0;0;10;2;282
Liefer- und Lastkraftw.;34;59;47;148;2264;19;453;146;23;9;16;44;0;3262
Sattelschlepper;11;19;9;38;983;4;243;163;4;3;7;18;0;1502
Landwirt. Zugmaschine;1;13;19;63;283;0;19;4;5;1;0;4;1;413
andere Zugmaschine;0;1;1;10;45;0;7;1;0;2;0;3;0;70
LKW mit Spezialaufbau;1;2;4;3;84;1;22;7;3;1;4;3;0;135
anderes Fahrzeug;12;15;3;20;276;0;35;11;6;0;1;12;2;393
sonstige Person;0;10;7;9;62;3;6;0;6;0;0;3;0;106
Unfälle zwischen zwei Beteiligten insg.;568;1918;669;2375;37480;193;4047;1396;556;87;107;868;175;50439
