Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;31;1;3;2;8;0;0;0;1;47
Fahrrad 4;0;0;0;0;5;0;0;0;1;0;0;0;0;6
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;1;0;0;1;0;0;0;0;1;3
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;15;133;1;17;7;7;1;0;0;14;196
Personenkraftwagen;24;2;0;204;6589;17;431;283;610;33;5;0;115;8313
Bus;1;0;0;1;37;1;4;1;5;0;0;0;0;50
Lastkraftwagen 3 bis einschließlich 3,5t;3;0;0;6;302;4;32;15;24;2;2;0;4;394
Lastkraftwagen 3 über 3,5t;4;0;0;2;356;3;55;55;69;1;0;0;3;548
Sattelzugmaschine;2;0;0;10;719;1;133;90;134;6;1;0;10;1106
übriges Güterkraftfahrzeug;0;0;0;0;32;0;5;5;9;1;0;0;1;53
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;2;0;0;5;71;1;9;1;4;2;0;0;0;95
Unfälle zwischen zwei Beteiligten insg.;37;2;0;244;8276;29;689;460;871;46;8;0;149;10811
