Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2138;132;109;11956;300;615;172;58;38;27;39;513;16097
Fahrrad 4;1666;5898;201;186;31604;250;1327;451;199;49;60;5;1226;43122
Kraftrad mit Versicherungskennzeichen 1;112;171;78;30;3756;26;193;60;29;11;17;0;125;4608
Kraftrad mit amtlichem Kennzeichen 2;128;291;50;180;5564;44;244;68;45;13;31;3;163;6824
Personenkraftwagen;3361;10288;1810;2188;36305;335;1688;749;479;72;137;30;653;58095
Bus;252;243;32;27;1277;45;55;27;15;3;4;1;89;2070
Lastkraftwagen 3 bis einschließlich 3,5t;102;283;86;71;869;8;75;20;22;2;7;2;28;1575
Lastkraftwagen 3 über 3,5t;30;124;27;27;441;11;35;23;9;3;2;2;8;742
Sattelzugmaschine;18;44;3;16;231;7;12;10;15;1;1;0;10;368
übriges Güterkraftfahrzeug;6;16;2;3;62;5;0;3;3;1;0;0;4;105
Landwirt. Zugmaschine;5;23;9;12;107;2;5;1;1;0;2;0;3;170
Straßenbahn;250;131;8;4;438;3;13;7;6;0;0;8;22;890
anderer Verkehrsteilnehmer;92;252;25;40;1044;81;46;29;12;5;12;9;74;1721
Unfälle zwischen zwei Beteiligten insg.;6022;19902;2463;2893;93654;1117;4308;1620;893;198;300;99;2918;136387
