Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;30;0;4;3;11;0;0;0;1;49
Fahrrad 4;0;3;0;0;2;0;0;0;0;0;0;0;0;5
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;2;0;0;1;0;0;0;0;0;3
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;15;126;0;10;5;11;0;0;0;3;171
Personenkraftwagen;17;3;2;203;6348;20;492;325;668;22;4;0;108;8212
Bus;1;0;0;0;31;0;2;0;3;0;0;0;0;37
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;8;277;0;45;18;39;1;0;0;4;393
Lastkraftwagen 3 über 3,5t;2;0;0;8;340;2;76;52;75;3;0;0;6;564
Sattelzugmaschine;7;0;0;17;822;7;180;79;168;6;0;0;15;1301
übriges Güterkraftfahrzeug;0;0;0;1;24;0;6;2;2;4;0;0;0;39
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;1;0;0;0;0;2
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;4;58;0;8;4;6;0;0;0;1;81
Unfälle zwischen zwei Beteiligten insg.;29;6;2;256;8061;29;823;489;984;36;4;0;138;10857
