Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;218;13;17;547;8;41;5;8;3;12;0;36;908
Fahrrad 4;134;1231;41;81;2517;20;139;53;29;15;70;0;211;4541
Kraftrad mit Versicherungskennzeichen 1;4;16;17;20;580;2;27;12;12;2;6;0;41;739
Kraftrad mit amtlichem Kennzeichen 2;20;123;16;410;2353;13;123;60;41;11;90;0;142;3402
Personenkraftwagen;190;979;269;1611;22171;72;1173;686;866;76;240;1;399;28733
Bus;3;9;4;18;134;3;7;8;8;4;1;0;6;205
Lastkraftwagen 3 bis einschließlich 3,5t;11;34;12;57;681;3;88;46;36;1;4;0;16;989
Lastkraftwagen 3 über 3,5t;7;21;8;32;703;6;100;80;78;4;3;0;11;1053
Sattelzugmaschine;15;20;5;27;997;3;160;82;126;6;4;0;13;1458
übriges Güterkraftfahrzeug;1;3;0;8;91;2;9;8;9;1;2;0;2;136
Landwirt. Zugmaschine;1;19;6;64;310;1;12;10;3;0;5;0;4;435
Straßenbahn;1;4;0;0;5;1;0;0;0;0;1;0;0;12
anderer Verkehrsteilnehmer;3;46;11;37;274;1;23;16;22;0;16;0;7;456
Unfälle zwischen zwei Beteiligten insg.;390;2723;402;2382;31363;135;1902;1066;1238;123;454;1;888;43067
