Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2337;169;166;16783;452;856;258;84;42;52;61;578;21838
Fahrrad 4;1505;5195;229;257;34924;269;1667;601;248;77;98;10;1175;46255
Kraftrad mit Versicherungskennzeichen 1;151;231;91;42;6149;58;300;129;63;17;28;1;235;7495
Kraftrad mit amtlichem Kennzeichen 2;209;377;79;509;10397;73;498;172;106;26;122;1;337;12906
Personenkraftwagen;5329;11395;2855;4673;79624;574;3835;1886;1591;214;494;41;1017;113528
Bus;354;264;43;47;1898;30;91;69;25;5;8;1;126;2961
Lastkraftwagen 3 bis einschließlich 3,5t;187;401;115;174;2259;20;207;110;73;13;23;3;38;3623
Lastkraftwagen 3 über 3,5t;66;141;46;83;1532;12;133;173;113;11;6;4;21;2341
Sattelzugmaschine;33;63;20;65;1377;9;172;140;200;12;5;0;17;2113
übriges Güterkraftfahrzeug;8;28;15;14;233;7;14;12;13;5;3;0;6;358
Landwirt. Zugmaschine;7;31;17;63;421;4;24;7;11;2;10;0;7;604
Straßenbahn;310;145;15;6;601;5;25;12;8;0;0;11;24;1162
anderer Verkehrsteilnehmer;59;199;37;67;950;99;65;42;27;13;22;9;42;1631
Unfälle zwischen zwei Beteiligten insg.;8218;20807;3731;6166;157148;1612;7887;3611;2562;437;871;142;3623;216815
