Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;131;15;17;595;8;51;9;13;5;12;0;31;887
Fahrrad 4;76;711;47;60;2055;7;102;38;27;5;53;0;169;3350
Kraftrad mit Versicherungskennzeichen 1;10;22;19;20;654;11;32;29;17;3;13;0;45;875
Kraftrad mit amtlichem Kennzeichen 2;14;74;20;310;2639;17;129;75;46;8;114;0;152;3598
Personenkraftwagen;263;781;269;1756;29094;119;1539;853;1101;99;281;0;475;36630
Bus;4;5;4;13;194;4;9;15;7;0;2;0;7;264
Lastkraftwagen 3 bis einschließlich 3,5t;18;35;15;89;1023;8;104;42;49;5;10;0;14;1412
Lastkraftwagen 3 über 3,5t;6;18;9;56;885;5;117;118;97;6;8;0;17;1342
Sattelzugmaschine;5;11;9;29;1217;10;212;114;182;8;1;0;19;1817
übriges Güterkraftfahrzeug;1;4;0;3;132;1;13;15;12;5;2;0;3;191
Landwirt. Zugmaschine;2;16;9;65;277;0;19;5;5;2;6;0;4;410
Straßenbahn;2;4;0;0;6;0;1;1;0;0;0;0;0;14
anderer Verkehrsteilnehmer;2;27;8;26;286;6;20;10;11;5;10;0;9;420
Unfälle zwischen zwei Beteiligten insg.;403;1839;424;2444;39057;196;2348;1324;1567;151;512;0;945;51210
