Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;2;34;1;10;2;5;1;0;0;0;55
Fahrrad 4;0;1;0;0;5;0;0;0;0;0;0;0;0;6
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;15;121;0;14;9;12;1;0;0;7;180
Personenkraftwagen;18;2;1;164;6510;23;477;277;628;18;2;0;130;8250
Bus;0;0;0;0;34;1;3;4;3;0;0;0;4;49
Lastkraftwagen 3 bis einschließlich 3,5t;3;0;0;11;303;1;53;14;35;2;0;0;4;426
Lastkraftwagen 3 über 3,5t;2;0;0;8;369;1;77;52;69;1;0;0;4;583
Sattelzugmaschine;2;0;0;9;758;7;176;86;158;4;0;0;10;1210
übriges Güterkraftfahrzeug;0;0;0;1;39;0;2;10;9;1;0;0;0;62
Landwirt. Zugmaschine;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;58;0;11;5;8;2;0;0;1;86
Unfälle zwischen zwei Beteiligten insg.;26;3;1;211;8233;34;823;459;927;30;2;0;160;10909
