Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;134;28;17;647;12;45;21;8;0;13;1;38;964
Fahrrad 4;60;615;45;54;2103;9;103;44;24;10;44;0;185;3296
Kraftrad mit Versicherungskennzeichen 1;15;26;20;10;765;10;41;39;23;1;14;0;45;1009
Kraftrad mit amtlichem Kennzeichen 2;16;101;22;360;2660;18;128;72;66;14;87;0;158;3702
Personenkraftwagen;315;837;298;1820;28696;134;1510;808;1016;93;335;0;512;36374
Bus;5;9;5;13;189;0;15;13;9;1;2;0;5;266
Lastkraftwagen 3 bis einschließlich 3,5t;17;40;19;80;1035;4;107;58;54;9;17;0;21;1461
Lastkraftwagen 3 über 3,5t;12;15;5;48;914;6;96;125;98;10;4;1;12;1346
Sattelzugmaschine;10;13;8;45;1118;5;156;123;179;11;2;0;11;1681
übriges Güterkraftfahrzeug;2;2;1;8;121;3;9;10;12;1;2;0;6;177
Landwirt. Zugmaschine;1;16;6;48;282;2;17;5;8;1;8;0;3;397
Straßenbahn;3;0;0;0;5;0;0;0;0;0;0;0;0;8
anderer Verkehrsteilnehmer;6;25;5;31;268;9;25;18;18;1;12;0;16;434
Unfälle zwischen zwei Beteiligten insg.;462;1833;462;2534;38803;212;2252;1336;1515;152;540;2;1012;51115
