Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2185;163;139;15717;433;782;231;79;42;40;62;514;20387
Fahrrad 4;1489;4661;215;170;32699;284;1467;524;227;64;53;6;1071;42930
Kraftrad mit Versicherungskennzeichen 1;122;166;52;35;4650;39;246;84;37;10;12;0;164;5617
Kraftrad mit amtlichem Kennzeichen 2;179;292;32;204;7091;54;289;87;34;15;42;3;165;8487
Personenkraftwagen;5124;10618;2176;2682;50471;473;2244;1090;659;145;151;57;515;76405
Bus;340;276;33;37;1660;32;75;35;10;5;2;1;126;2632
Lastkraftwagen 3 bis einschließlich 3,5t;146;344;76;93;1213;12;84;38;21;6;7;1;20;2061
Lastkraftwagen 3 über 3,5t;46;127;25;29;633;17;28;42;13;4;6;0;8;978
Sattelzugmaschine;18;42;15;18;321;6;9;19;13;1;3;0;4;469
übriges Güterkraftfahrzeug;9;20;4;5;114;4;8;3;3;7;0;0;4;181
Landwirt. Zugmaschine;3;23;6;16;117;4;5;2;2;1;1;0;2;182
Straßenbahn;326;168;3;9;653;7;29;16;6;3;0;5;20;1245
anderer Verkehrsteilnehmer;71;170;32;27;663;113;31;27;11;6;15;13;34;1213
Unfälle zwischen zwei Beteiligten insg.;7873;19092;2832;3464;116002;1478;5297;2198;1115;309;332;148;2647;162787
