Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;3;0;2;125;2;11;12;7;3;1;3;6;175
Fahrrad 4;4;4;1;0;40;2;2;26;11;3;1;0;2;96
Kraftrad mit Versicherungskennzeichen 1;2;0;1;0;4;0;0;0;0;0;0;0;0;7
Kraftrad mit amtlichem Kennzeichen 2;2;1;0;0;36;0;3;2;0;1;1;0;1;47
Personenkraftwagen;55;45;4;6;28;1;4;5;2;0;1;0;3;154
Bus;4;1;0;1;1;0;1;0;0;0;0;0;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Lastkraftwagen 3 über 3,5t;6;5;1;2;7;0;0;1;0;0;0;0;1;23
Sattelzugmaschine;3;3;0;2;3;0;0;0;1;0;0;0;0;12
übriges Güterkraftfahrzeug;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Landwirt. Zugmaschine;1;0;1;0;1;0;0;0;0;0;0;0;0;3
Straßenbahn;12;7;0;0;0;0;1;0;0;0;0;0;0;20
anderer Verkehrsteilnehmer;12;6;0;2;12;0;1;0;0;0;0;0;0;33
Unfälle zwischen zwei Beteiligten insg.;102;75;8;15;259;5;23;46;21;7;4;3;13;581
Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;0;35;3;5;1;3;0;0;0;0;49
Fahrrad 4;0;4;2;3;35;0;7;2;3;0;0;0;0;56
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;13;0;0;2;0;0;0;0;0;15
Kraftrad mit amtlichem Kennzeichen 2;0;6;0;11;99;0;7;3;0;0;15;0;4;145
Personenkraftwagen;30;52;9;73;253;1;12;3;9;2;2;0;4;450
Bus;1;0;0;2;8;0;1;1;0;0;0;0;0;13
Lastkraftwagen 3 bis einschließlich 3,5t;0;3;1;6;22;0;0;1;0;0;1;0;4;38
Lastkraftwagen 3 über 3,5t;1;4;2;5;52;0;9;2;1;0;0;0;1;77
Sattelzugmaschine;5;4;0;3;76;1;21;5;6;0;0;0;1;122
übriges Güterkraftfahrzeug;0;1;0;0;9;0;0;0;2;0;0;0;0;12
Landwirt. Zugmaschine;0;2;0;7;9;0;0;0;1;0;0;0;0;19
Straßenbahn;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;2;1;2;10;0;1;0;0;0;0;0;0;16
Unfälle zwischen zwei Beteiligten insg.;38;80;15;112;621;5;63;20;25;2;18;0;14;1013
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;5;0;2;160;5;16;13;10;3;1;3;6;224
Fahrrad 4;4;8;3;3;75;2;9;28;14;3;1;0;2;152
Kraftrad mit Versicherungskennzeichen 1;2;0;1;0;17;0;0;2;0;0;0;0;0;22
Kraftrad mit amtlichem Kennzeichen 2;2;7;0;11;135;0;10;5;0;1;16;0;5;192
Personenkraftwagen;85;97;13;79;281;2;16;8;11;2;3;0;7;604
Bus;5;1;0;3;9;0;2;1;0;0;0;0;0;21
Lastkraftwagen 3 bis einschließlich 3,5t;0;3;1;6;24;0;0;1;0;0;1;0;4;40
Lastkraftwagen 3 über 3,5t;7;9;3;7;59;0;9;3;1;0;0;0;2;100
Sattelzugmaschine;8;7;0;5;79;1;21;5;7;0;0;0;1;134
übriges Güterkraftfahrzeug;1;1;0;0;9;0;0;0;2;0;0;0;0;13
Landwirt. Zugmaschine;1;2;1;7;10;0;0;0;1;0;0;0;0;22
Straßenbahn;13;7;0;0;0;0;1;0;0;0;0;0;0;21
anderer Verkehrsteilnehmer;12;8;1;4;22;0;2;0;0;0;0;0;0;49
Unfälle zwischen zwei Beteiligten insg.;140;155;23;127;880;10;86;66;46;9;22;3;27;1594
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2384;134;126;15327;437;756;195;73;34;40;67;622;20195
Fahrrad 4;1646;5414;203;168;33996;284;1450;485;221;59;55;9;1220;45210
Kraftrad mit Versicherungskennzeichen 1;142;161;65;37;4575;44;209;70;28;10;15;1;132;5489
Kraftrad mit amtlichem Kennzeichen 2;168;247;44;167;6652;56;293;82;41;18;43;2;196;8009
Personenkraftwagen;4680;11033;2154;2583;47408;458;1960;936;610;151;151;48;587;72759
Bus;368;278;28;30;1706;58;82;47;19;5;3;2;121;2747
Lastkraftwagen 3 bis einschließlich 3,5t;115;288;77;98;1053;16;88;32;19;3;4;2;23;1818
Lastkraftwagen 3 über 3,5t;48;118;35;45;612;21;25;18;10;4;6;2;10;954
Sattelzugmaschine;28;52;13;21;278;5;13;19;16;1;1;1;8;456
übriges Güterkraftfahrzeug;9;19;2;4;111;4;10;4;4;1;1;1;2;172
Landwirt. Zugmaschine;9;22;7;14;132;1;3;2;1;0;6;0;4;201
Straßenbahn;337;164;3;7;607;7;26;22;12;3;0;10;25;1223
anderer Verkehrsteilnehmer;58;191;33;31;820;94;46;27;17;3;9;8;47;1384
Unfälle zwischen zwei Beteiligten insg.;7608;20371;2798;3331;113277;1485;4961;1939;1071;292;334;153;2997;160617
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;152;17;7;595;11;48;10;12;1;11;0;32;896
Fahrrad 4;79;866;54;64;2304;14;107;43;31;7;53;0;165;3787
Kraftrad mit Versicherungskennzeichen 1;7;22;20;11;670;9;25;26;10;2;12;0;40;854
Kraftrad mit amtlichem Kennzeichen 2;12;93;23;366;2579;13;89;67;52;6;93;0;124;3517
Personenkraftwagen;250;899;282;1700;28704;125;1517;790;1109;88;286;0;404;36154
Bus;4;8;2;14;206;2;16;13;10;0;4;0;10;289
Lastkraftwagen 3 bis einschließlich 3,5t;8;32;14;70;921;4;112;43;41;9;8;0;21;1283
Lastkraftwagen 3 über 3,5t;4;27;13;44;835;6;113;99;66;6;7;0;25;1245
Sattelzugmaschine;8;17;3;31;1236;10;199;104;172;7;5;0;22;1814
übriges Güterkraftfahrzeug;1;2;2;7;128;1;9;9;11;4;2;0;2;178
Landwirt. Zugmaschine;0;12;4;52;304;1;17;5;6;0;9;0;0;410
Straßenbahn;3;0;0;0;6;0;0;0;0;0;0;0;0;9
anderer Verkehrsteilnehmer;2;23;9;32;269;4;24;20;12;1;10;0;21;427
Unfälle zwischen zwei Beteiligten insg.;378;2153;443;2398;38757;200;2276;1229;1532;131;500;0;866;50863
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2536;151;133;15922;448;804;205;85;35;51;67;654;21091
Fahrrad 4;1725;6280;257;232;36300;298;1557;528;252;66;108;9;1385;48997
Kraftrad mit Versicherungskennzeichen 1;149;183;85;48;5245;53;234;96;38;12;27;1;172;6343
Kraftrad mit amtlichem Kennzeichen 2;180;340;67;533;9231;69;382;149;93;24;136;2;320;11526
Personenkraftwagen;4930;11932;2436;4283;76112;583;3477;1726;1719;239;437;48;991;108913
Bus;372;286;30;44;1912;60;98;60;29;5;7;2;131;3036
Lastkraftwagen 3 bis einschließlich 3,5t;123;320;91;168;1974;20;200;75;60;12;12;2;44;3101
Lastkraftwagen 3 über 3,5t;52;145;48;89;1447;27;138;117;76;10;13;2;35;2199
Sattelzugmaschine;36;69;16;52;1514;15;212;123;188;8;6;1;30;2270
übriges Güterkraftfahrzeug;10;21;4;11;239;5;19;13;15;5;3;1;4;350
Landwirt. Zugmaschine;9;34;11;66;436;2;20;7;7;0;15;0;4;611
Straßenbahn;340;164;3;7;613;7;26;22;12;3;0;10;25;1232
anderer Verkehrsteilnehmer;60;214;42;63;1089;98;70;47;29;4;19;8;68;1811
Unfälle zwischen zwei Beteiligten insg.;7986;22524;3241;5729;152034;1685;7237;3168;2603;423;834;153;3863;211480
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;11;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;29;0;1;2;0;0;0;0;0;32
Kraftrad mit Versicherungskennzeichen 1;0;2;2;0;169;0;17;8;1;1;2;0;24;226
Kraftrad mit amtlichem Kennzeichen 2;1;6;0;3;295;2;26;13;4;1;2;0;47;400
Personenkraftwagen;35;57;141;142;23389;157;925;506;292;63;83;9;1354;27153
Bus;0;0;1;1;318;3;10;1;2;2;0;0;5;343
Lastkraftwagen 3 bis einschließlich 3,5t;2;2;5;3;779;5;44;26;15;2;4;1;35;923
Lastkraftwagen 3 über 3,5t;1;0;0;2;499;1;21;11;6;0;0;0;7;548
Sattelzugmaschine;0;0;0;0;199;1;10;4;16;2;1;0;7;240
übriges Güterkraftfahrzeug;0;0;1;0;74;0;4;3;1;1;1;0;2;87
Landwirt. Zugmaschine;0;0;0;0;99;0;2;2;0;1;0;0;3;107
Straßenbahn;0;0;0;0;303;2;13;2;0;0;0;0;2;322
anderer Verkehrsteilnehmer;0;0;2;0;211;1;14;5;3;1;0;0;11;248
Unfälle zwischen zwei Beteiligten insg.;39;67;152;151;26375;172;1087;583;340;74;93;10;1497;30640
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Fahrrad 4;0;0;0;0;4;0;0;0;0;0;0;0;0;4
Kraftrad mit Versicherungskennzeichen 1;0;0;1;0;17;0;1;0;0;0;0;0;2;21
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;4;100;2;4;2;4;1;4;0;9;130
Personenkraftwagen;11;11;18;90;9374;44;483;386;451;46;113;0;695;11722
Bus;0;0;1;1;79;0;3;3;1;0;1;0;1;90
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;5;392;2;48;25;23;4;3;0;16;519
Lastkraftwagen 3 über 3,5t;0;0;0;2;490;0;31;30;32;4;1;0;23;613
Sattelzugmaschine;1;0;1;3;751;4;67;31;77;4;2;0;32;973
übriges Güterkraftfahrzeug;0;0;0;0;56;0;4;3;3;1;0;0;4;71
Landwirt. Zugmaschine;0;0;0;1;125;2;5;2;2;2;3;0;1;143
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;143;1;10;4;6;1;3;0;5;174
Unfälle zwischen zwei Beteiligten insg.;13;11;21;107;11534;55;656;486;599;63;130;0;788;14463
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;14;0;0;0;0;0;0;0;0;14
Fahrrad 4;0;0;0;0;33;0;1;2;0;0;0;0;0;36
Kraftrad mit Versicherungskennzeichen 1;0;2;3;0;186;0;18;8;1;1;2;0;26;247
Kraftrad mit amtlichem Kennzeichen 2;1;6;0;7;395;4;30;15;8;2;6;0;56;530
Personenkraftwagen;46;68;159;232;32763;201;1408;892;743;109;196;9;2049;38875
Bus;0;0;2;2;397;3;13;4;3;2;1;0;6;433
Lastkraftwagen 3 bis einschließlich 3,5t;3;2;5;8;1171;7;92;51;38;6;7;1;51;1442
Lastkraftwagen 3 über 3,5t;1;0;0;4;989;1;52;41;38;4;1;0;30;1161
