Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;1;0;2;40;1;4;3;4;0;1;0;1;57
Fahrrad 4;0;2;0;5;24;1;2;2;3;1;2;0;1;43
Kraftrad mit Versicherungskennzeichen 1;0;0;0;2;5;0;1;0;0;0;0;0;0;8
Kraftrad mit amtlichem Kennzeichen 2;0;3;0;17;79;0;5;4;2;2;4;0;2;118
Personenkraftwagen;25;47;6;64;206;1;11;6;4;0;3;0;5;378
Bus;0;2;0;4;10;0;2;0;0;0;0;0;0;18
Lastkraftwagen 3 bis einschließlich 3,5t;1;3;2;3;24;1;2;0;0;0;0;0;0;36
Lastkraftwagen 3 über 3,5t;0;2;0;4;41;0;4;7;4;1;0;0;1;64
Sattelzugmaschine;2;3;0;1;63;0;17;6;7;0;0;0;1;100
übriges Güterkraftfahrzeug;0;0;0;3;3;0;1;0;0;0;0;0;0;7
Landwirt. Zugmaschine;0;0;1;8;8;0;1;0;0;0;0;0;0;18
Straßenbahn;0;1;0;0;1;0;0;0;0;0;0;0;0;2
anderer Verkehrsteilnehmer;0;6;0;3;9;0;0;0;0;0;0;0;0;18
Unfälle zwischen zwei Beteiligten insg.;28;70;9;116;513;4;50;28;24;4;10;0;11;867
