Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;2;60;2;2;1;2;0;1;0;2;74
Fahrrad 4;1;2;0;4;21;1;5;2;1;1;2;0;0;40
Kraftrad mit Versicherungskennzeichen 1;2;0;0;0;3;0;0;0;0;0;1;0;0;6
Kraftrad mit amtlichem Kennzeichen 2;1;10;0;18;98;1;11;3;2;2;10;0;4;160
Personenkraftwagen;46;53;13;84;324;1;11;2;9;0;7;0;3;553
Bus;0;0;1;0;15;0;2;0;0;0;0;0;0;18
Lastkraftwagen 3 bis einschließlich 3,5t;3;6;0;4;25;0;0;2;2;0;0;0;0;42
Lastkraftwagen 3 über 3,5t;2;2;1;6;62;0;3;1;5;0;0;0;0;82
Sattelzugmaschine;3;4;2;8;86;0;12;8;12;1;0;0;1;137
übriges Güterkraftfahrzeug;1;0;0;2;5;0;2;1;0;0;0;0;1;12
Landwirt. Zugmaschine;0;2;0;9;7;0;0;0;0;0;0;0;0;18
Straßenbahn;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;2;2;3;14;0;1;0;1;0;0;0;0;23
Unfälle zwischen zwei Beteiligten insg.;60;83;19;140;720;5;49;20;34;4;21;0;11;1166
