Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;1;1;0;0;0;0;0;0;2
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;2;1;0;1;0;0;0;0;0;0;4
Personenkraftwagen;6;1;0;6;26;0;4;0;3;0;0;0;1;47
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;1;3;0;0;1;0;0;0;0;1;6
Lastkraftwagen 3 über 3,5t;1;0;0;2;11;0;5;0;1;0;0;0;0;20
Sattelzugmaschine;3;0;0;0;35;1;18;4;6;0;0;0;1;68
übriges Güterkraftfahrzeug;0;0;0;0;3;0;0;0;2;0;0;0;0;5
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;10;1;0;11;79;2;29;5;12;0;0;0;3;152
