Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;1;7;0;0;0;0;0;0;0;0;8
Personenkraftwagen;7;0;0;3;33;0;2;2;8;0;0;0;0;55
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;3;0;0;0;1;0;0;0;0;5
Lastkraftwagen 3 über 3,5t;2;0;0;1;10;0;5;2;4;0;0;0;0;24
Sattelzugmaschine;3;0;0;1;25;0;9;3;4;0;0;0;0;45
übriges Güterkraftfahrzeug;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;13;0;0;6;81;0;16;7;17;0;0;0;0;140
