Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;1;0;2;51;0;6;2;1;1;0;0;4;68
Fahrrad 4;1;4;0;3;23;1;3;2;1;0;3;0;1;42
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;14;1;0;1;0;1;0;0;1;18
Kraftrad mit amtlichem Kennzeichen 2;0;9;0;6;104;1;3;5;3;0;10;0;2;143
Personenkraftwagen;40;53;10;72;338;0;12;11;15;1;7;0;4;563
Bus;0;1;0;2;13;0;0;1;0;0;0;0;0;17
Lastkraftwagen 3 bis einschließlich 3,5t;4;3;1;1;19;0;1;0;2;0;0;0;0;31
Lastkraftwagen 3 über 3,5t;3;6;2;6;64;0;7;2;5;0;0;0;0;95
Sattelzugmaschine;4;3;0;4;82;0;10;5;8;0;1;0;2;119
übriges Güterkraftfahrzeug;0;0;1;0;6;0;0;1;0;1;0;0;0;9
Landwirt. Zugmaschine;1;1;0;6;5;0;1;1;0;0;0;0;0;15
Straßenbahn;2;0;0;0;0;0;0;0;0;0;0;0;0;2
anderer Verkehrsteilnehmer;1;5;0;3;9;0;0;1;0;0;0;0;0;19
Unfälle zwischen zwei Beteiligten insg.;56;86;14;105;728;3;43;32;35;4;21;0;14;1141
