Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;5;0;2;160;5;16;13;10;3;1;3;6;224
Fahrrad 4;4;8;3;3;75;2;9;28;14;3;1;0;2;152
Kraftrad mit Versicherungskennzeichen 1;2;0;1;0;17;0;0;2;0;0;0;0;0;22
Kraftrad mit amtlichem Kennzeichen 2;2;7;0;11;135;0;10;5;0;1;16;0;5;192
Personenkraftwagen;85;97;13;79;281;2;16;8;11;2;3;0;7;604
Bus;5;1;0;3;9;0;2;1;0;0;0;0;0;21
Lastkraftwagen 3 bis einschließlich 3,5t;0;3;1;6;24;0;0;1;0;0;1;0;4;40
Lastkraftwagen 3 über 3,5t;7;9;3;7;59;0;9;3;1;0;0;0;2;100
Sattelzugmaschine;8;7;0;5;79;1;21;5;7;0;0;0;1;134
übriges Güterkraftfahrzeug;1;1;0;0;9;0;0;0;2;0;0;0;0;13
Landwirt. Zugmaschine;1;2;1;7;10;0;0;0;1;0;0;0;0;22
Straßenbahn;13;7;0;0;0;0;1;0;0;0;0;0;0;21
anderer Verkehrsteilnehmer;12;8;1;4;22;0;2;0;0;0;0;0;0;49
Unfälle zwischen zwei Beteiligten insg.;140;155;23;127;880;10;86;66;46;9;22;3;27;1594
