Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;4;1;2;145;5;18;17;12;7;2;4;9;226
Fahrrad 4;5;13;0;6;63;5;4;23;24;7;6;0;1;157
Kraftrad mit Versicherungskennzeichen 1;0;0;0;2;8;0;2;1;0;0;1;0;0;14
Kraftrad mit amtlichem Kennzeichen 2;1;3;0;17;104;1;6;5;3;3;4;0;2;149
Personenkraftwagen;60;91;10;72;227;1;11;6;4;0;3;0;9;494
Bus;2;2;0;5;13;0;2;0;0;0;0;0;2;26
Lastkraftwagen 3 bis einschließlich 3,5t;3;4;2;3;26;1;2;0;0;0;0;0;0;41
Lastkraftwagen 3 über 3,5t;8;6;2;4;45;0;4;7;4;1;0;0;1;82
Sattelzugmaschine;6;6;0;2;66;0;17;7;7;0;0;0;1;112
übriges Güterkraftfahrzeug;1;0;0;3;3;0;1;0;0;0;0;0;0;8
Landwirt. Zugmaschine;1;1;1;10;10;0;2;0;0;0;0;0;0;25
Straßenbahn;13;9;2;0;5;0;0;0;0;0;0;0;1;30
anderer Verkehrsteilnehmer;6;10;0;4;22;0;0;0;0;0;0;0;0;42
Unfälle zwischen zwei Beteiligten insg.;106;149;18;130;737;13;69;66;54;18;16;4;26;1406
