Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;2;6;162;4;20;24;15;1;1;4;3;244
Fahrrad 4;1;14;2;2;77;2;13;26;11;4;0;1;4;157
Kraftrad mit Versicherungskennzeichen 1;1;2;1;1;20;0;4;0;2;0;0;0;1;32
Kraftrad mit amtlichem Kennzeichen 2;3;4;0;15;134;2;9;2;4;3;7;0;1;184
Personenkraftwagen;85;90;17;90;302;1;17;7;11;0;4;0;7;631
Bus;3;5;1;3;12;0;0;0;0;1;0;0;1;26
Lastkraftwagen 3 bis einschließlich 3,5t;5;4;2;5;17;0;0;0;1;0;0;0;1;35
Lastkraftwagen 3 über 3,5t;10;7;2;6;55;0;11;1;1;1;0;0;0;94
Sattelzugmaschine;6;8;2;7;88;3;28;8;10;1;0;0;3;164
übriges Güterkraftfahrzeug;0;2;0;1;12;0;0;2;1;0;0;0;0;18
Landwirt. Zugmaschine;0;2;0;7;8;0;0;0;0;0;0;0;0;17
Straßenbahn;23;6;0;0;2;0;0;0;0;0;1;0;1;33
anderer Verkehrsteilnehmer;7;14;2;1;24;0;2;0;1;0;0;0;2;53
Unfälle zwischen zwei Beteiligten insg.;144;160;31;144;913;12;104;70;57;11;13;5;24;1688
