Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;2;180;8;21;24;13;10;6;2;5;273
Fahrrad 4;5;9;1;1;55;2;6;35;18;6;3;2;0;143
Kraftrad mit Versicherungskennzeichen 1;0;1;1;1;14;0;0;1;1;0;0;0;1;20
Kraftrad mit amtlichem Kennzeichen 2;3;6;2;8;130;0;10;2;4;0;18;0;2;185
Personenkraftwagen;91;82;16;97;301;0;17;14;9;2;5;1;9;644
Bus;5;2;0;3;12;0;0;0;0;0;0;0;0;22
Lastkraftwagen 3 bis einschließlich 3,5t;9;6;1;7;18;0;2;0;2;1;0;0;0;46
Lastkraftwagen 3 über 3,5t;5;2;2;9;59;1;12;1;1;1;0;0;0;93
Sattelzugmaschine;2;2;1;5;82;0;25;9;12;0;0;0;1;139
übriges Güterkraftfahrzeug;1;1;1;2;13;0;0;0;0;0;0;0;0;18
Landwirt. Zugmaschine;1;2;0;9;3;0;1;0;0;0;0;0;0;16
Straßenbahn;16;3;0;0;1;0;1;0;0;0;0;0;0;21
anderer Verkehrsteilnehmer;10;13;1;3;18;0;0;2;2;0;1;0;0;50
Unfälle zwischen zwei Beteiligten insg.;148;131;26;147;886;11;95;88;62;20;33;5;18;1670
