Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;3;0;2;125;2;11;12;7;3;1;3;6;175
Fahrrad 4;4;4;1;0;40;2;2;26;11;3;1;0;2;96
Kraftrad mit Versicherungskennzeichen 1;2;0;1;0;4;0;0;0;0;0;0;0;0;7
Kraftrad mit amtlichem Kennzeichen 2;2;1;0;0;36;0;3;2;0;1;1;0;1;47
Personenkraftwagen;55;45;4;6;28;1;4;5;2;0;1;0;3;154
Bus;4;1;0;1;1;0;1;0;0;0;0;0;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Lastkraftwagen 3 über 3,5t;6;5;1;2;7;0;0;1;0;0;0;0;1;23
Sattelzugmaschine;3;3;0;2;3;0;0;0;1;0;0;0;0;12
übriges Güterkraftfahrzeug;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Landwirt. Zugmaschine;1;0;1;0;1;0;0;0;0;0;0;0;0;3
Straßenbahn;12;7;0;0;0;0;1;0;0;0;0;0;0;20
anderer Verkehrsteilnehmer;12;6;0;2;12;0;1;0;0;0;0;0;0;33
Unfälle zwischen zwei Beteiligten insg.;102;75;8;15;259;5;23;46;21;7;4;3;13;581
