Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;3;1;0;105;4;14;14;8;7;1;4;8;169
Fahrrad 4;5;11;0;1;39;4;2;21;21;6;4;0;0;114
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;3;0;1;1;0;0;1;0;0;6
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;0;25;1;1;1;1;1;0;0;0;31
Personenkraftwagen;35;44;4;8;21;0;0;0;0;0;0;0;4;116
Bus;2;0;0;1;3;0;0;0;0;0;0;0;2;8
Lastkraftwagen 3 bis einschließlich 3,5t;2;1;0;0;2;0;0;0;0;0;0;0;0;5
Lastkraftwagen 3 über 3,5t;8;4;2;0;4;0;0;0;0;0;0;0;0;18
Sattelzugmaschine;4;3;0;1;3;0;0;1;0;0;0;0;0;12
übriges Güterkraftfahrzeug;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Landwirt. Zugmaschine;1;1;0;2;2;0;1;0;0;0;0;0;0;7
Straßenbahn;13;8;2;0;4;0;0;0;0;0;0;0;1;28
anderer Verkehrsteilnehmer;6;4;0;1;13;0;0;0;0;0;0;0;0;24
Unfälle zwischen zwei Beteiligten insg.;78;79;9;14;224;9;19;38;30;14;6;4;15;539
