Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;6;1;0;144;5;16;30;11;2;2;4;5;226
Fahrrad 4;2;8;0;0;36;3;1;19;21;3;1;0;2;96
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;8;0;0;3;1;0;0;0;0;12
Kraftrad mit amtlichem Kennzeichen 2;2;2;0;0;46;0;5;0;0;1;2;0;0;58
Personenkraftwagen;67;47;3;16;46;0;2;1;2;0;0;0;1;185
Bus;2;4;0;0;2;0;0;0;0;0;0;0;0;8
Lastkraftwagen 3 bis einschließlich 3,5t;2;4;0;2;4;0;0;0;0;0;0;0;0;12
Lastkraftwagen 3 über 3,5t;5;2;2;3;9;0;0;0;0;0;0;0;0;21
Sattelzugmaschine;6;1;0;1;5;0;1;0;0;0;0;0;0;14
übriges Güterkraftfahrzeug;0;0;1;0;3;0;0;0;0;0;0;0;0;4
Landwirt. Zugmaschine;0;1;2;1;3;0;0;0;0;0;0;0;0;7
Straßenbahn;14;3;0;0;5;0;0;0;0;0;0;0;0;22
anderer Verkehrsteilnehmer;8;3;0;2;10;0;0;0;0;2;2;1;0;28
Unfälle zwischen zwei Beteiligten insg.;108;81;9;25;321;8;25;53;35;8;7;5;8;693
