Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;9;0;0;0;0;0;0;0;0;9
Fahrrad 4;0;0;0;0;22;0;1;0;0;0;0;0;0;23
Kraftrad mit Versicherungskennzeichen 1;0;3;2;0;197;2;14;2;3;1;0;0;17;241
Kraftrad mit amtlichem Kennzeichen 2;2;4;0;23;483;3;31;16;10;3;4;0;71;650
Personenkraftwagen;66;70;183;311;33320;145;1528;851;687;113;177;11;2050;39512
Bus;0;1;1;1;368;1;11;4;1;0;0;0;2;390
Lastkraftwagen 3 bis einschließlich 3,5t;1;5;7;4;1490;3;86;49;29;8;6;0;65;1753
Lastkraftwagen 3 über 3,5t;1;0;0;1;1027;2;66;31;45;3;5;0;37;1218
Sattelzugmaschine;0;0;3;2;865;2;65;56;76;5;4;0;54;1132
übriges Güterkraftfahrzeug;0;0;1;1;147;3;4;2;7;2;0;0;2;169
Landwirt. Zugmaschine;0;1;0;2;224;1;12;3;7;0;4;0;6;260
Straßenbahn;0;0;0;0;305;0;8;2;0;0;1;0;1;317
anderer Verkehrsteilnehmer;0;0;1;3;300;2;22;5;8;0;2;0;9;352
Unfälle zwischen zwei Beteiligten insg.;70;84;198;348;38757;164;1848;1021;873;135;203;11;2314;46026
