Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;8;0;0;0;0;0;0;0;0;8
Fahrrad 4;0;0;0;1;34;1;3;0;0;0;0;0;0;39
Kraftrad mit Versicherungskennzeichen 1;0;1;0;2;153;1;19;4;1;1;1;0;24;207
Kraftrad mit amtlichem Kennzeichen 2;4;7;3;11;407;7;33;24;9;3;2;1;59;570
Personenkraftwagen;52;80;173;250;33770;193;1408;881;721;147;166;4;2205;40050
Bus;0;0;0;3;371;3;14;10;3;1;2;0;8;415
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;4;9;1329;6;85;50;49;8;6;0;58;1606
Lastkraftwagen 3 über 3,5t;0;0;2;6;1063;2;64;43;32;4;7;0;28;1251
Sattelzugmaschine;0;0;3;2;988;7;63;46;96;4;6;0;33;1248
übriges Güterkraftfahrzeug;0;0;0;0;154;0;9;5;4;3;0;0;2;177
Landwirt. Zugmaschine;0;0;1;3;215;0;9;9;6;1;7;0;0;251
Straßenbahn;0;0;0;0;306;1;10;4;0;1;0;0;1;323
anderer Verkehrsteilnehmer;0;1;2;3;339;2;13;6;5;2;4;0;9;386
Unfälle zwischen zwei Beteiligten insg.;58;89;188;290;39137;223;1730;1082;926;175;201;5;2427;46531
