Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Fahrrad 4;0;0;0;0;4;0;0;0;0;0;0;0;0;4
Kraftrad mit Versicherungskennzeichen 1;0;0;1;0;17;0;1;0;0;0;0;0;2;21
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;4;100;2;4;2;4;1;4;0;9;130
Personenkraftwagen;11;11;18;90;9374;44;483;386;451;46;113;0;695;11722
Bus;0;0;1;1;79;0;3;3;1;0;1;0;1;90
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;5;392;2;48;25;23;4;3;0;16;519
Lastkraftwagen 3 über 3,5t;0;0;0;2;490;0;31;30;32;4;1;0;23;613
Sattelzugmaschine;1;0;1;3;751;4;67;31;77;4;2;0;32;973
übriges Güterkraftfahrzeug;0;0;0;0;56;0;4;3;3;1;0;0;4;71
Landwirt. Zugmaschine;0;0;0;1;125;2;5;2;2;2;3;0;1;143
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;143;1;10;4;6;1;3;0;5;174
Unfälle zwischen zwei Beteiligten insg.;13;11;21;107;11534;55;656;486;599;63;130;0;788;14463
