Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;15;0;0;0;0;0;0;0;0;15
Fahrrad 4;0;0;1;0;28;0;1;0;0;1;0;0;0;31
Kraftrad mit Versicherungskennzeichen 1;0;1;0;1;169;1;17;6;2;1;1;0;16;215
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;13;453;4;38;10;9;0;5;0;49;582
Personenkraftwagen;49;81;149;252;34786;165;1482;919;827;126;196;16;2278;41326
Bus;0;0;0;3;423;2;14;5;4;2;4;0;9;466
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;4;3;1358;8;102;49;38;4;10;0;65;1641
Lastkraftwagen 3 über 3,5t;0;1;1;2;1098;1;62;46;49;6;4;0;37;1307
Sattelzugmaschine;0;0;1;3;1059;2;74;48;89;5;3;0;42;1326
übriges Güterkraftfahrzeug;0;0;0;1;142;1;15;3;10;2;1;0;7;182
Landwirt. Zugmaschine;0;0;0;1;202;1;8;2;2;0;4;0;4;224
Straßenbahn;0;0;0;0;314;0;15;3;1;1;0;0;1;335
anderer Verkehrsteilnehmer;0;0;1;4;332;2;15;11;7;0;1;0;12;385
Unfälle zwischen zwei Beteiligten insg.;50;83;157;283;40379;187;1843;1102;1038;148;229;16;2520;48035
