Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;14;0;0;2;2;0;0;0;0;18
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;13;118;1;11;4;5;0;4;0;15;171
Personenkraftwagen;5;9;22;108;9731;38;500;445;541;48;101;0;732;12280
Bus;0;0;0;1;74;0;7;1;2;0;2;0;2;89
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;1;2;510;4;50;25;33;1;4;0;29;659
Lastkraftwagen 3 über 3,5t;0;0;0;1;603;0;43;34;37;3;2;0;27;750
Sattelzugmaschine;0;0;0;2;811;2;62;39;79;4;2;0;36;1037
übriges Güterkraftfahrzeug;0;0;0;0;78;1;8;2;9;0;0;0;6;104
Landwirt. Zugmaschine;0;0;0;0;115;1;8;1;1;0;3;0;1;130
Straßenbahn;0;0;0;0;4;0;1;0;0;0;0;0;0;5
anderer Verkehrsteilnehmer;0;0;0;3;118;1;7;6;6;0;1;0;3;145
Unfälle zwischen zwei Beteiligten insg.;5;9;24;130;12177;48;697;559;715;56;119;0;851;15390
