Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;17;0;0;0;1;0;0;0;0;18
Fahrrad 4;0;0;0;0;27;0;1;1;0;0;0;0;0;29
Kraftrad mit Versicherungskennzeichen 1;0;0;1;0;163;1;17;2;2;1;2;0;18;207
Kraftrad mit amtlichem Kennzeichen 2;1;2;3;12;486;2;30;19;6;5;7;0;58;631
Personenkraftwagen;65;64;163;259;32416;139;1409;918;728;107;180;9;2029;38486
Bus;1;0;1;2;400;4;11;6;2;3;0;0;5;435
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;5;12;1332;5;84;50;41;7;7;0;62;1607
Lastkraftwagen 3 über 3,5t;0;1;2;1;1028;4;69;36;48;3;4;0;29;1225
Sattelzugmaschine;1;0;0;5;945;2;66;47;77;5;4;0;36;1188
übriges Güterkraftfahrzeug;0;0;0;4;134;2;6;5;6;3;2;0;5;167
Landwirt. Zugmaschine;0;0;1;2;208;2;7;7;2;0;3;0;2;234
Straßenbahn;0;0;0;0;314;0;13;1;0;1;0;0;0;329
anderer Verkehrsteilnehmer;0;1;0;2;316;2;22;7;10;0;3;0;4;367
Unfälle zwischen zwei Beteiligten insg.;69;69;176;299;37786;163;1735;1099;923;135;212;9;2248;44923
