Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;7;0;0;1;0;0;0;0;3;11
Personenkraftwagen;1;0;0;13;1929;6;182;161;295;13;1;0;382;2983
Bus;0;0;0;0;15;0;1;1;0;0;0;0;0;17
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;3;108;0;20;7;18;1;0;0;10;167
Lastkraftwagen 3 über 3,5t;0;0;0;1;201;0;15;18;26;1;0;0;16;278
Sattelzugmaschine;1;0;0;0;494;3;53;21;66;2;0;0;23;663
übriges Güterkraftfahrzeug;0;0;0;0;15;0;0;3;2;0;0;0;1;21
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;43;1;5;2;5;0;0;0;4;60
Unfälle zwischen zwei Beteiligten insg.;2;0;0;17;2813;10;276;214;412;17;1;0;439;4201
