Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2203;141;149;16136;440;811;237;76;42;39;60;540;20874
Fahrrad 4;1445;4580;184;203;32821;260;1564;557;224;67;54;10;990;42959
Kraftrad mit Versicherungskennzeichen 1;136;205;71;32;5384;48;259;90;40;16;14;1;190;6486
Kraftrad mit amtlichem Kennzeichen 2;193;276;57;149;7737;55;370;100;40;12;35;1;179;9204
Personenkraftwagen;5014;10558;2557;2853;50928;440;2325;1078;575;121;159;41;505;77154
Bus;349;255;38;34;1709;30;76;56;16;4;6;1;121;2695
Lastkraftwagen 3 bis einschließlich 3,5t;170;361;96;94;1224;16;100;52;19;4;6;3;17;2162
Lastkraftwagen 3 über 3,5t;54;126;41;35;618;6;37;48;15;1;2;3;9;995
Sattelzugmaschine;23;50;12;20;259;4;16;17;21;1;3;0;6;432
übriges Güterkraftfahrzeug;6;26;14;6;112;4;5;2;1;4;1;0;0;181
Landwirt. Zugmaschine;6;15;11;15;139;2;7;2;3;1;2;0;4;207
Straßenbahn;307;145;15;6;596;5;25;12;8;0;0;11;24;1154
anderer Verkehrsteilnehmer;53;174;32;36;682;90;40;24;9;12;10;9;26;1197
Unfälle zwischen zwei Beteiligten insg.;7756;18974;3269;3632;118345;1400;5635;2275;1047;285;331;140;2611;165700
