Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2159;203;113;15943;382;1164;59;31;4;37;640;0;20735
Fahrrad;1411;4372;265;196;31261;244;2368;207;50;15;43;669;349;41450
Mofa, Moped;177;175;92;30;5880;55;440;35;23;2;6;153;35;7103
Motorrad;200;309;70;128;7498;57;465;39;45;2;17;151;40;9021
Personenkraftwagen;5297;10214;2968;2591;49787;423;3671;548;129;36;102;568;27;76361
Kraftomnibus, Obus;307;228;33;32;1648;31;125;12;4;2;4;72;41;2539
Liefer- und Lastkraftw.;254;509;176;151;2171;35;248;35;16;1;10;25;7;3638
Sattelschlepper;21;46;26;10;253;5;31;16;1;0;2;9;1;421
Landwirt. Zugmaschine;7;16;12;13;96;2;8;2;3;0;1;2;0;162
andere Zugmaschine;0;7;3;3;22;0;0;0;0;2;0;1;0;38
LKW mit Spezialaufbau;6;15;3;3;70;0;7;4;0;0;1;1;1;111
anderes Fahrzeug;393;247;31;44;1106;12;82;18;6;1;3;53;18;2014
sonstige Person;0;42;11;8;209;65;29;2;7;0;2;13;0;388
Unfälle zwischen zwei Beteiligten insg.;8073;18339;3893;3322;115944;1311;8638;977;315;65;228;2357;519;163981
