Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;;2030;221;165;15352;415;1261;86;39;9;38;556;;20172
Fahrrad;1292;4378;336;236;28996;243;2218;188;73;17;51;605;423;39056
Mofa, Moped;158;228;130;74;6558;48;536;74;33;12;11;181;55;8098
Motorrad;226;344;96;442;9667;59;724;88;127;23;12;260;70;12138
Personenkraftwagen;5501;9899;3468;3889;74797;577;6848;1476;422;108;189;1093;100;108367
Kraftomnibus, Obus;361;211;65;54;1781;42;171;29;4;4;5;81;37;2845
Liefer- und Lastkraftw.;336;594;230;318;4559;51;745;181;27;12;23;69;4;7149
Sattelschlepper;37;54;25;43;1309;16;262;173;5;7;5;34;1;1971
Landwirt. Zugmaschine;8;21;18;70;355;4;37;4;4;1;1;6;1;530
andere Zugmaschine;5;8;4;13;104;;15;5;;3;1;2;;160
LKW mit Spezialaufbau;7;14;4;7;189;6;27;7;2;;7;3;4;277
anderes Fahrzeug;382;250;56;73;1445;20;183;32;10;2;7;70;12;2542
sonstige Person;;71;16;16;253;75;30;7;13;1;2;27;;511
Unfälle zwischen zwei Beteiligten insg.;8313;18102;4669;5400;145365;1556;13057;2350;759;199;352;2987;707;203816
