Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;148;13;17;662;11;54;16;14;1;18;0;30;984
Fahrrad 4;86;718;40;77;2162;11;105;49;25;10;49;0;167;3499
Kraftrad mit Versicherungskennzeichen 1;3;21;22;20;696;7;37;28;20;4;14;0;41;913
Kraftrad mit amtlichem Kennzeichen 2;19;84;25;388;2659;18;121;61;57;9;106;0;144;3691
Personenkraftwagen;259;870;289;1772;29418;109;1496;854;1045;112;315;1;476;37016
Bus;5;9;4;20;214;4;11;10;13;3;3;0;5;301
Lastkraftwagen 3 bis einschließlich 3,5t;19;38;14;66;1082;8;86;47;43;5;9;0;20;1437
Lastkraftwagen 3 über 3,5t;12;17;10;41;938;13;86;118;94;7;3;0;17;1356
Sattelzugmaschine;7;11;2;42;1124;3;163;123;172;8;9;0;18;1682
übriges Güterkraftfahrzeug;0;4;2;10;123;3;8;11;12;1;2;0;2;178
Landwirt. Zugmaschine;6;14;6;57;325;2;18;4;8;0;9;0;0;449
Straßenbahn;4;1;0;0;5;0;0;0;1;0;0;0;0;11
anderer Verkehrsteilnehmer;8;19;10;40;286;7;24;11;9;6;9;0;7;436
Unfälle zwischen zwei Beteiligten insg.;428;1954;437;2550;39694;196;2209;1332;1513;166;546;1;927;51953
