Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2316;178;156;16312;441;833;240;92;47;52;62;545;21274
Fahrrad 4;1565;5372;262;230;34754;291;1569;562;254;69;106;6;1240;46280
Kraftrad mit Versicherungskennzeichen 1;132;188;71;55;5304;50;278;113;54;13;25;0;209;6492
Kraftrad mit amtlichem Kennzeichen 2;193;366;52;514;9730;71;418;162;80;23;156;3;317;12085
Personenkraftwagen;5387;11399;2445;4438;79565;592;3783;1943;1760;244;432;57;990;113035
Bus;344;281;37;50;1854;36;84;50;17;5;4;1;133;2896
Lastkraftwagen 3 bis einschließlich 3,5t;164;379;91;182;2236;20;188;80;70;11;17;1;34;3473
Lastkraftwagen 3 über 3,5t;52;145;34;85;1518;22;145;160;110;10;14;0;25;2320
Sattelzugmaschine;23;53;24;47;1538;16;221;133;195;9;4;0;23;2286
übriges Güterkraftfahrzeug;10;24;4;8;246;5;21;18;15;12;2;0;7;372
Landwirt. Zugmaschine;5;39;15;81;394;4;24;7;7;3;7;0;6;592
Straßenbahn;328;172;3;9;659;7;30;17;6;3;0;5;20;1259
anderer Verkehrsteilnehmer;73;197;40;53;949;119;51;37;22;11;25;13;43;1633
Unfälle zwischen zwei Beteiligten insg.;8276;20931;3256;5908;155059;1674;7645;3522;2682;460;844;148;3592;213997
