Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2289;237;176;16380;405;1301;74;41;15;45;720;0;21683
Fahrrad;1568;5069;323;239;34214;291;2595;221;102;19;53;703;453;45850
Mofa, Moped;191;229;131;77;7273;49;569;55;40;6;20;183;39;8862
Motorrad;246;419;102;463;11190;68;797;89;153;17;14;321;92;13971
Personenkraftwagen;5780;11407;3654;4346;75465;534;6497;1507;434;96;170;1077;111;111078
Kraftomnibus, Obus;380;260;51;60;1835;23;189;20;4;0;5;90;43;2960
Liefer- und Lastkraftw.;260;632;265;331;4466;54;725;185;38;12;20;90;7;7085
Sattelschlepper;32;69;28;62;1297;11;283;180;4;3;9;23;0;2001
Landwirt. Zugmaschine;5;29;34;73;378;1;24;5;8;1;0;7;1;566
andere Zugmaschine;3;9;3;11;85;0;8;1;0;2;0;3;1;126
LKW mit Spezialaufbau;10;16;13;6;162;3;25;8;3;2;8;5;0;261
anderes Fahrzeug;389;291;57;59;1436;15;149;28;9;0;4;69;13;2519
sonstige Person;0;78;19;23;252;63;41;2;14;0;1;27;1;521
Unfälle zwischen zwei Beteiligten insg.;8864;20797;4917;5926;154433;1517;13203;2375;850;173;349;3318;761;217483
