Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;2;0;0;0;4;0;0;0;0;6
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;3;2;0;0;2;0;1;0;0;0;8
Personenkraftwagen;8;0;0;6;29;0;1;3;5;0;0;0;4;56
Bus;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;1;2;0;0;0;0;0;0;0;0;4
Lastkraftwagen 3 über 3,5t;3;0;0;0;6;0;4;0;1;0;0;0;0;14
Sattelzugmaschine;2;0;0;3;26;0;15;5;4;0;0;0;0;55
übriges Güterkraftfahrzeug;0;0;0;0;0;0;2;2;2;0;0;0;0;6
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;2;0;0;1;0;0;0;0;0;4
Unfälle zwischen zwei Beteiligten insg.;14;0;0;14;70;0;22;13;16;1;0;0;4;154
