Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;0;35;3;5;1;3;0;0;0;0;49
Fahrrad 4;0;4;2;3;35;0;7;2;3;0;0;0;0;56
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;13;0;0;2;0;0;0;0;0;15
Kraftrad mit amtlichem Kennzeichen 2;0;6;0;11;99;0;7;3;0;0;15;0;4;145
Personenkraftwagen;30;52;9;73;253;1;12;3;9;2;2;0;4;450
Bus;1;0;0;2;8;0;1;1;0;0;0;0;0;13
Lastkraftwagen 3 bis einschließlich 3,5t;0;3;1;6;22;0;0;1;0;0;1;0;4;38
Lastkraftwagen 3 über 3,5t;1;4;2;5;52;0;9;2;1;0;0;0;1;77
Sattelzugmaschine;5;4;0;3;76;1;21;5;6;0;0;0;1;122
übriges Güterkraftfahrzeug;0;1;0;0;9;0;0;0;2;0;0;0;0;12
Landwirt. Zugmaschine;0;2;0;7;9;0;0;0;1;0;0;0;0;19
Straßenbahn;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;2;1;2;10;0;1;0;0;0;0;0;0;16
Unfälle zwischen zwei Beteiligten insg.;38;80;15;112;621;5;63;20;25;2;18;0;14;1013
