Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;1;130;8;16;16;13;5;1;5;6;203
Fahrrad 4;1;7;0;1;28;0;5;25;10;4;2;0;2;85
Kraftrad mit Versicherungskennzeichen 1;1;0;0;0;9;0;1;2;3;0;0;0;0;16
Kraftrad mit amtlichem Kennzeichen 2;3;2;0;0;46;0;1;0;2;0;1;0;1;56
Personenkraftwagen;64;29;7;12;40;0;2;0;1;0;0;0;1;156
Bus;6;5;0;1;4;0;1;0;0;0;0;0;0;17
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;1;0;3;0;1;0;0;0;0;0;0;7
Lastkraftwagen 3 über 3,5t;10;7;6;1;5;0;0;0;0;0;1;0;0;30
Sattelzugmaschine;8;3;0;3;5;0;1;1;0;0;0;0;0;21
übriges Güterkraftfahrzeug;0;2;0;0;2;0;1;0;0;0;0;0;0;5
Landwirt. Zugmaschine;0;2;0;1;2;0;0;0;0;0;0;0;0;5
Straßenbahn;25;4;0;0;2;0;0;0;0;0;0;0;0;31
anderer Verkehrsteilnehmer;9;10;0;0;7;0;0;3;0;0;0;0;0;29
Unfälle zwischen zwei Beteiligten insg.;128;74;14;20;283;8;29;47;29;9;5;5;10;661
