Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;6;0;1;1;0;0;0;0;0;8
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;5;0;1;0;0;0;0;0;0;6
Personenkraftwagen;10;0;0;8;39;1;1;0;4;0;1;0;1;65
Bus;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;0;0;3;0;0;1;2;0;0;0;0;8
Lastkraftwagen 3 über 3,5t;1;0;0;0;14;0;2;1;5;0;0;0;0;23
Sattelzugmaschine;2;0;0;3;38;0;10;5;11;1;0;0;0;70
übriges Güterkraftfahrzeug;1;0;0;0;3;0;1;1;0;0;0;0;0;6
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;16;0;0;11;111;1;17;9;22;1;1;0;1;190
