Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;45;0;1;1;3;1;3;0;3;57
Fahrrad 4;0;1;0;1;25;0;2;2;2;1;3;0;0;37
Kraftrad mit Versicherungskennzeichen 1;0;0;0;1;5;0;0;0;1;0;0;0;0;7
Kraftrad mit amtlichem Kennzeichen 2;1;3;2;8;102;0;5;1;4;0;17;0;1;144
Personenkraftwagen;43;37;9;83;269;0;15;13;9;1;4;0;3;486
Bus;1;0;0;2;8;0;0;0;0;0;0;0;0;11
Lastkraftwagen 3 bis einschließlich 3,5t;6;4;0;5;12;0;2;0;2;1;0;0;0;32
Lastkraftwagen 3 über 3,5t;1;0;0;8;53;1;12;1;1;0;0;0;0;77
Sattelzugmaschine;0;0;1;3;79;0;25;9;12;0;0;0;1;130
übriges Güterkraftfahrzeug;0;1;0;1;10;0;0;0;0;0;0;0;0;12
Landwirt. Zugmaschine;1;1;0;8;3;0;1;0;0;0;0;0;0;14
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;1;6;0;2;8;0;0;1;1;0;1;0;0;20
Unfälle zwischen zwei Beteiligten insg.;54;53;12;122;619;1;63;28;35;4;28;0;8;1027
