Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;1;0;1;0;0;0;0;0;0;0;0;2
Fahrrad;0;0;1;1;23;0;1;0;0;0;0;0;0;26
Mofa, Moped;1;1;2;0;196;1;17;1;0;0;0;22;0;241
Motorrad;1;1;1;4;344;2;53;4;2;1;1;30;1;445
Personenkraftwagen;53;66;148;136;27997;138;1771;287;87;13;62;1376;36;32170
Kraftomnibus, Obus;0;0;2;2;343;1;23;0;1;0;0;2;0;374
Liefer- und Lastkraftw.;0;2;7;10;1764;7;143;22;5;3;2;51;2;2018
Sattelschlepper;0;0;0;0;253;0;27;11;1;0;0;2;0;294
Landwirt. Zugmaschine;0;0;0;0;92;0;8;1;1;0;0;2;0;104
andere Zugmaschine;0;0;0;0;19;0;2;1;0;0;0;1;0;23
LKW mit Spezialaufbau;0;0;0;0;82;0;2;0;0;0;1;1;1;87
anderes Fahrzeug;0;0;2;2;542;2;35;3;1;0;0;11;1;599
sonstige Person;0;0;0;0;17;0;1;1;1;0;0;0;0;20
Unfälle zwischen zwei Beteiligten insg.;55;70;164;155;31673;151;2083;331;99;17;66;1498;41;36403
