Personenkraftwagen;5051;12286;2683;4900;77201;561;3602;1812;1741;230;474;46;898;111485
Bus;342;310;25;39;1955;57;82;58;27;9;11;1;135;3051
Lastkraftwagen 3 bis einschließlich 3,5t;143;350;127;194;2144;28;165;73;66;10;17;4;42;3363
Lastkraftwagen 3 über 3,5t;73;158;45;96;1416;12;150;136;113;12;15;4;28;2258
Sattelzugmaschine;33;77;19;69;1610;15;218;116;221;11;5;1;32;2427
übriges Güterkraftfahrzeug;10;32;3;18;203;6;14;11;7;6;6;0;2;318
Landwirt. Zugmaschine;5;36;9;58;426;5;21;8;6;1;10;0;6;591
Straßenbahn;323;176;7;3;674;6;34;13;8;2;1;15;29;1291
anderer Verkehrsteilnehmer;76;193;39;84;1011;112;63;30;23;6;21;10;52;1720
Unfälle zwischen zwei Beteiligten insg.;8131;23207;3588;6518;156969;1688;7467;3352;2758;430;892;139;3635;218774
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;10;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;27;0;2;0;0;0;0;0;0;29
Kraftrad mit Versicherungskennzeichen 1;1;1;0;1;138;0;11;0;2;1;0;0;20;175
Kraftrad mit amtlichem Kennzeichen 2;1;4;3;3;321;8;32;4;9;2;1;0;34;422
Personenkraftwagen;32;71;115;156;23281;145;1014;468;287;68;95;11;1283;27026
Bus;1;0;0;1;289;1;8;2;3;0;0;0;6;311
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;4;5;842;4;56;21;14;1;7;1;27;984
Lastkraftwagen 3 über 3,5t;0;0;3;4;495;1;18;12;11;2;1;0;10;557
Sattelzugmaschine;0;0;0;0;227;1;13;5;13;2;2;0;3;266
übriges Güterkraftfahrzeug;0;0;0;1;82;1;3;0;1;0;0;0;0;88
Landwirt. Zugmaschine;0;0;0;0;101;0;4;1;2;0;0;0;0;108
Straßenbahn;0;0;0;0;272;0;12;1;0;0;0;0;1;286
anderer Verkehrsteilnehmer;0;0;1;1;209;0;9;1;4;0;2;0;6;233
Unfälle zwischen zwei Beteiligten insg.;36;77;126;173;26294;161;1182;515;346;76;108;12;1390;30496
