Personenkraftwagen;44;72;127;144;25055;127;982;474;286;78;95;16;1546;29046
Bus;0;0;0;2;349;2;7;4;2;2;2;0;7;377
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;3;1;848;4;52;24;5;3;6;0;36;982
Lastkraftwagen 3 über 3,5t;0;1;1;1;495;1;19;12;12;3;2;0;10;557
Sattelzugmaschine;0;0;1;1;248;0;12;9;10;1;1;0;6;289
übriges Güterkraftfahrzeug;0;0;0;1;64;0;7;1;1;2;1;0;1;78
Landwirt. Zugmaschine;0;0;0;1;87;0;0;1;1;0;1;0;3;94
Straßenbahn;0;0;0;0;310;0;14;3;1;1;0;0;1;330
anderer Verkehrsteilnehmer;0;0;1;1;214;1;8;5;1;0;0;0;9;240
Unfälle zwischen zwei Beteiligten insg.;45;74;133;153;28202;139;1146;543;323;92;110;16;1669;32645
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;14;0;0;2;2;0;0;0;0;18
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;13;118;1;11;4;5;0;4;0;15;171
Personenkraftwagen;5;9;22;108;9731;38;500;445;541;48;101;0;732;12280
Bus;0;0;0;1;74;0;7;1;2;0;2;0;2;89
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;1;2;510;4;50;25;33;1;4;0;29;659
Lastkraftwagen 3 über 3,5t;0;0;0;1;603;0;43;34;37;3;2;0;27;750
Sattelzugmaschine;0;0;0;2;811;2;62;39;79;4;2;0;36;1037
übriges Güterkraftfahrzeug;0;0;0;0;78;1;8;2;9;0;0;0;6;104
Landwirt. Zugmaschine;0;0;0;0;115;1;8;1;1;0;3;0;1;130
Straßenbahn;0;0;0;0;4;0;1;0;0;0;0;0;0;5
anderer Verkehrsteilnehmer;0;0;0;3;118;1;7;6;6;0;1;0;3;145
Unfälle zwischen zwei Beteiligten insg.;5;9;24;130;12177;48;697;559;715;56;119;0;851;15390
