Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;5;0;1;0;1;0;0;0;1;8
Personenkraftwagen;0;1;0;12;1864;8;169;221;332;23;0;0;349;2979
Bus;0;0;0;0;15;0;0;0;1;0;0;0;1;17
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;122;0;19;17;30;0;0;0;20;209
Lastkraftwagen 3 über 3,5t;0;0;0;1;223;0;30;18;32;0;0;0;14;318
Sattelzugmaschine;0;0;0;0;527;1;39;26;79;4;0;0;21;697
übriges Güterkraftfahrzeug;0;0;0;0;18;0;6;0;1;0;0;0;2;27
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;1;0;0;0;1;3
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;36;0;2;4;5;0;0;0;1;48
Unfälle zwischen zwei Beteiligten insg.;1;1;0;13;2811;9;266;286;482;27;0;0;410;4306
