Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;3;0;1;1;2;0;0;0;3;10
Personenkraftwagen;2;0;0;19;1676;11;133;168;261;15;0;0;352;2637
Bus;0;0;0;0;15;0;0;0;0;0;0;0;0;15
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;109;0;10;9;14;0;0;0;16;158
Lastkraftwagen 3 über 3,5t;0;0;0;0;197;0;19;10;19;0;0;0;14;259
Sattelzugmaschine;0;0;0;0;410;1;34;30;52;2;0;0;39;568
übriges Güterkraftfahrzeug;0;0;0;0;21;0;1;0;0;0;0;0;0;22
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;34;0;3;2;8;0;0;0;1;48
Unfälle zwischen zwei Beteiligten insg.;2;0;0;19;2466;12;201;220;356;17;0;0;425;3718
