Personenkraftwagen;5400;11673;2651;4494;80699;577;3750;1893;1706;258;461;45;957;114564
Bus;316;270;35;59;1922;47;91;45;25;7;7;2;116;2942
Lastkraftwagen 3 bis einschließlich 3,5t;136;380;111;184;2355;24;177;78;65;9;14;1;43;3577
Lastkraftwagen 3 über 3,5t;67;160;44;80;1546;28;120;156;100;9;7;3;29;2349
Sattelzugmaschine;35;71;20;61;1438;6;174;143;182;10;9;2;30;2181
übriges Güterkraftfahrzeug;8;32;8;21;248;5;12;16;14;3;3;1;3;374
Landwirt. Zugmaschine;9;30;17;80;448;4;23;5;10;0;13;0;3;642
Straßenbahn;329;160;7;5;631;10;34;14;8;7;0;12;20;1237
anderer Verkehrsteilnehmer;78;192;38;83;1020;98;64;44;19;10;17;6;45;1714
Unfälle zwischen zwei Beteiligten insg.;8346;21508;3495;6124;158500;1638;7729;3509;2616;483;841;160;3595;218544
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;8;0;0;0;0;0;0;0;0;8
Fahrrad 4;0;0;0;1;33;0;3;0;0;0;0;0;0;37
Kraftrad mit Versicherungskennzeichen 1;0;1;0;2;136;1;17;2;1;1;1;0;24;186
Kraftrad mit amtlichem Kennzeichen 2;4;7;3;6;288;4;25;14;5;2;2;1;45;406
Personenkraftwagen;44;73;158;144;24450;149;924;463;287;81;77;4;1495;28349
Bus;0;0;0;2;306;3;11;6;2;0;1;0;5;336
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;4;8;860;2;47;21;11;6;3;0;33;996
Lastkraftwagen 3 über 3,5t;0;0;2;1;522;1;16;16;8;1;4;0;6;577
Sattelzugmaschine;0;0;2;0;251;2;9;9;21;0;2;0;5;301
übriges Güterkraftfahrzeug;0;0;0;0;80;0;6;2;2;1;0;0;1;92
Landwirt. Zugmaschine;0;0;1;2;78;0;3;4;2;0;4;0;0;94
Straßenbahn;0;0;0;0;302;1;10;4;0;1;0;0;1;319
anderer Verkehrsteilnehmer;0;1;2;2;214;0;5;2;4;1;2;0;6;239
Unfälle zwischen zwei Beteiligten insg.;49;82;172;168;27528;163;1076;543;343;94;96;5;1621;31940
