Personenkraftwagen;4930;11932;2436;4283;76112;583;3477;1726;1719;239;437;48;991;108913
Bus;372;286;30;44;1912;60;98;60;29;5;7;2;131;3036
Lastkraftwagen 3 bis einschließlich 3,5t;123;320;91;168;1974;20;200;75;60;12;12;2;44;3101
Lastkraftwagen 3 über 3,5t;52;145;48;89;1447;27;138;117;76;10;13;2;35;2199
Sattelzugmaschine;36;69;16;52;1514;15;212;123;188;8;6;1;30;2270
übriges Güterkraftfahrzeug;10;21;4;11;239;5;19;13;15;5;3;1;4;350
Landwirt. Zugmaschine;9;34;11;66;436;2;20;7;7;0;15;0;4;611
Straßenbahn;340;164;3;7;613;7;26;22;12;3;0;10;25;1232
anderer Verkehrsteilnehmer;60;214;42;63;1089;98;70;47;29;4;19;8;68;1811
Unfälle zwischen zwei Beteiligten insg.;7986;22524;3241;5729;152034;1685;7237;3168;2603;423;834;153;3863;211480
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;11;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;29;0;1;2;0;0;0;0;0;32
Kraftrad mit Versicherungskennzeichen 1;0;2;2;0;169;0;17;8;1;1;2;0;24;226
Kraftrad mit amtlichem Kennzeichen 2;1;6;0;3;295;2;26;13;4;1;2;0;47;400
Personenkraftwagen;35;57;141;142;23389;157;925;506;292;63;83;9;1354;27153
Bus;0;0;1;1;318;3;10;1;2;2;0;0;5;343
Lastkraftwagen 3 bis einschließlich 3,5t;2;2;5;3;779;5;44;26;15;2;4;1;35;923
Lastkraftwagen 3 über 3,5t;1;0;0;2;499;1;21;11;6;0;0;0;7;548
Sattelzugmaschine;0;0;0;0;199;1;10;4;16;2;1;0;7;240
übriges Güterkraftfahrzeug;0;0;1;0;74;0;4;3;1;1;1;0;2;87
Landwirt. Zugmaschine;0;0;0;0;99;0;2;2;0;1;0;0;3;107
Straßenbahn;0;0;0;0;303;2;13;2;0;0;0;0;2;322
anderer Verkehrsteilnehmer;0;0;2;0;211;1;14;5;3;1;0;0;11;248
Unfälle zwischen zwei Beteiligten insg.;39;67;152;151;26375;172;1087;583;340;74;93;10;1497;30640
