Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;9;0;0;0;0;0;0;0;0;9
Fahrrad 4;0;0;0;0;32;0;0;0;0;0;0;0;0;32
Kraftrad mit Versicherungskennzeichen 1;1;2;1;1;140;0;15;5;0;0;0;0;10;175
Kraftrad mit amtlichem Kennzeichen 2;0;5;1;2;272;2;37;14;6;2;1;0;40;382
Personenkraftwagen;26;61;147;124;18686;104;862;430;292;59;66;6;1243;22106
Bus;0;0;2;2;239;2;8;3;1;0;2;0;5;264
Lastkraftwagen 3 bis einschließlich 3,5t;0;1;4;7;645;2;53;16;6;2;3;0;35;774
Lastkraftwagen 3 über 3,5t;0;0;1;3;371;3;16;13;5;0;2;0;6;420
Sattelzugmaschine;0;0;0;0;197;2;13;6;14;0;2;0;3;237
übriges Güterkraftfahrzeug;0;0;0;2;55;0;1;1;1;0;0;0;0;60
Landwirt. Zugmaschine;0;0;0;0;68;0;7;4;0;0;2;0;2;83
Straßenbahn;0;0;0;1;230;0;15;1;0;0;0;0;2;249
anderer Verkehrsteilnehmer;0;1;2;0;203;3;5;6;4;2;0;0;10;236
Unfälle zwischen zwei Beteiligten insg.;27;70;158;142;21147;118;1032;499;329;65;78;6;1356;25027
