Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;14;0;0;0;0;0;0;0;0;14
Fahrrad 4;0;0;0;0;28;0;1;0;0;1;0;0;0;30
Kraftrad mit Versicherungskennzeichen 1;0;1;0;1;155;1;17;4;0;1;1;0;16;197
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;0;335;3;27;6;4;0;1;0;34;411
Personenkraftwagen;44;72;127;144;25055;127;982;474;286;78;95;16;1546;29046
Bus;0;0;0;2;349;2;7;4;2;2;2;0;7;377
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;3;1;848;4;52;24;5;3;6;0;36;982
Lastkraftwagen 3 über 3,5t;0;1;1;1;495;1;19;12;12;3;2;0;10;557
Sattelzugmaschine;0;0;1;1;248;0;12;9;10;1;1;0;6;289
übriges Güterkraftfahrzeug;0;0;0;1;64;0;7;1;1;2;1;0;1;78
Landwirt. Zugmaschine;0;0;0;1;87;0;0;1;1;0;1;0;3;94
Straßenbahn;0;0;0;0;310;0;14;3;1;1;0;0;1;330
anderer Verkehrsteilnehmer;0;0;1;1;214;1;8;5;1;0;0;0;9;240
Unfälle zwischen zwei Beteiligten insg.;45;74;133;153;28202;139;1146;543;323;92;110;16;1669;32645
