Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;7;0;1;0;0;1;0;0;1;10
Personenkraftwagen;1;0;0;12;1777;10;133;185;305;12;0;0;356;2791
Bus;1;0;0;0;8;0;1;1;0;0;0;0;0;11
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;102;1;15;15;24;1;0;0;10;169
Lastkraftwagen 3 über 3,5t;0;0;0;0;214;1;18;13;29;0;0;0;12;287
Sattelzugmaschine;0;0;0;1;445;1;37;26;48;2;0;0;20;580
übriges Güterkraftfahrzeug;0;0;0;1;11;0;1;2;4;1;0;0;2;22
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;43;0;6;0;3;0;0;0;1;53
Unfälle zwischen zwei Beteiligten insg.;3;0;0;14;2608;13;212;242;414;17;0;0;402;3925
