Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;18;0;0;0;0;0;0;0;1;19
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;13;111;0;8;2;3;2;2;0;19;160
Personenkraftwagen;3;7;20;108;9222;37;502;446;504;54;91;0;666;11660
Bus;0;0;0;0;67;0;1;2;1;0;1;0;2;74
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;2;4;465;4;48;33;43;1;10;0;32;644
Lastkraftwagen 3 über 3,5t;0;0;1;2;564;0;44;28;47;2;4;0;21;713
Sattelzugmaschine;1;0;0;2;782;2;49;41;91;5;1;0;28;1002
übriges Güterkraftfahrzeug;0;0;2;1;65;0;8;5;5;0;0;0;5;91
Landwirt. Zugmaschine;0;1;0;0;115;0;5;5;4;0;0;0;4;134
Straßenbahn;0;0;0;0;6;0;0;0;0;0;0;0;0;6
anderer Verkehrsteilnehmer;0;0;0;3;117;0;8;6;7;0;4;0;1;146
Unfälle zwischen zwei Beteiligten insg.;6;8;25;133;11535;43;673;568;705;64;113;0;779;14652
