Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;6;0;0;2;1;0;0;0;2;11
Personenkraftwagen;1;0;0;7;1881;9;151;180;279;18;3;0;380;2909
Bus;0;0;0;0;8;0;1;0;1;0;0;0;2;12
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;129;1;20;16;25;0;0;0;17;209
Lastkraftwagen 3 über 3,5t;0;0;0;1;201;1;25;14;13;0;0;0;11;266
Sattelzugmaschine;0;0;0;0;439;3;42;20;57;3;0;0;17;581
übriges Güterkraftfahrzeug;0;0;0;0;26;0;1;1;2;0;0;0;1;31
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;42;0;4;2;1;1;0;0;2;52
Unfälle zwischen zwei Beteiligten insg.;2;0;0;8;2732;14;244;235;379;22;3;0;432;4071
